Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term
84,840.04,2,0.05,251.81,251.86,251.9,1.0,0.0,1.0
85,850.04,2,0.05,255.14,255.19,255.2,1.0,0.0,1.0
86,860.03,2,0.05,258.47,258.52,258.5,1.0,0.0,1.0
87,870.04,2,0.05,261.81,261.86,261.8,1.0,0.0,1.0
88,880.03,2,0.05,265.14,265.19,265.2,1.0,0.0,1.0
89,890.03,2,0.05,268.47,268.52,268.5,1.0,0.0,1.0
90,900.03,2,0.05,271.81,271.86,271.8,1.0,0.0,1.0
91,910.04,2,0.05,275.14,275.19,275.2,1.0,0.0,1.0
92,920.04,2,0.05,278.47,278.52,278.5,1.0,0.0,1.0
93,930.03,2,0.05,281.81,281.86,281.8,1.0,0.0,1.0
94,940.03,2,0.05,285.14,285.19,285.2,1.0,0.0,1.0
95,950.03,2,0.05,288.47,288.52,288.5,1.0,0.0,1.0
96,960.04,2,0.05,291.81,291.86,291.8,1.0,0.0,1.0
97,970.04,2,0.05,295.14,295.19,295.2,1.0,0.0,1.0
98,980.03,2,0.05,298.47,298.52,298.5,1.0,0.0,1.0
99,990.03,2,0.05,301.81,301.86,301.8,1.0,0.0,1.0
100,1000.03,2,0.05,305.14,305.19,305.2,1.0,0.0,1.0
101,1010.03,2,0.05,308.47,308.52,308.5,1.0,0.0,1.0
102,1020.04,2,0.05,311.81,311.86,311.8,1.0,0.0,1.0
103,1030.03,2,0.05,315.14,315.19,315.2,1.0,0.0,1.0
104,1040.03,2,0.05,318.47,318.52,318.5,1.0,0.0,1.0
105,1050.03,2,0.05,321.81,321.86,321.8,1.0,0.0,1.0
106,1060.04,2,0.05,325.14,325.19,325.2,1.0,0.0,1.0
107,1070.04,2,0.05,328.48,328.53,328.5,1.0,0.0,1.0
108,1080.03,2,0.05,331.81,331.86,331.8,1.0,0.0,1.0
109,1090.03,2,0.05,335.14,335.19,335.2,1.0,0.0,1.0
110,1100.03,2,0.05,338.47,338.52,338.5,1.0,0.0,1.0
111,1110.03,2,0.05,341.81,341.86,341.8,1.0,0.0,1.0
112,1120.03,2,0.05,345.14,345.19,345.2,1.0,0.0,1.0
113,1130.03,2,0.05,348.47,348.52,348.5,1.0,0.0,1.0
114,1140.03,2,0.05,351.81,351.86,351.8,1.0,0.0,1.0
115,1150.04,2,0.05,355.14,355.19,355.2,1.0,0.0,1.0
116,1160.03,2,0.05,358.47,358.52,358.5,1.0,0.0,1.0
117,1170.03,2,0.05,361.81,361.86,361.8,1.0,0.0,1.0
118,1180.03,2,0.05,365.14,365.19,365.2,1.0,0.0,1.0
119,1190.04,2,0.05,368.48,368.52,368.5,1.0,0.0,1.0
120,1200.03,2,0.05,371.81,371.86,371.8,1.0,0.0,1.0
121,1210.03,2,0.05,375.14,375.19,375.2,1.0,0.0,1.0
122,1220.04,2,0.05,378.48,378.52,378.5,1.0,0.0,1.0
123,1230.03,2,0.05,381.81,381.86,381.8,1.0,0.0,1.0
124,1240.03,2,0.05,385.14,385.19,385.2,1.0,0.0,1.0
125,1250.03,2,0.05,388.47,388.52,388.5,1.0,0.0,1.0
126,1260.03,2,0.05,391.81,391.86,391.8,1.0,0.0,1.0
127,1270.03,2,0.05,395.14,395.19,395.2,1.0,0.0,1.0
128,1280.03,2,0.05,398.47,398.52,398.5,1.0,0.0,1.0
129,1290.03,2,0.05,401.81,401.86,401.8,1.0,0.0,1.0
130,1300.03,2,0.05,405.14,405.19,405.2,1.0,0.0,1.0
131,1310.03,2,0.05,408.47,408.52,408.5,1.0,0.0,1.0
132,1320.04,2,0.05,411.81,411.86,411.8,1.0,0.0,1.0
133,1330.03,2,0.05,415.14,415.19,415.2,1.0,0.0,1.0
134,1340.03,2,0.05,418.47,418.52,418.5,1.0,0.0,1.0
135,1350.03,2,0.05,421.81,421.86,421.8,1.0,0.0,1.0
136,1360.03,2,0.05,425.14,425.19,425.2,1.0,0.0,1.0
137,1370.03,2,0.05,428.47,428.52,428.5,1.0,0.0,1.0
138,1380.03,2,0.05,431.81,431.86,431.8,1.0,0.0,1.0
139,1390.03,2,0.05,435.14,435.19,435.2,1.0,0.0,1.0
140,1400.03,2,0.05,438.47,438.52,438.5,1.0,0.0,1.0
141,1410.03,2,0.05,441.81,441.86,441.8,1.0,0.0,1.0
142,1420.03,2,0.05,445.14,445.19,445.2,1.0,0.0,1.0
143,1430.03,2,0.05,448.47,448.52,448.5,1.0,0.0,1.0
144,1440.03,2,0.05,451.81,451.86,451.8,1.0,0.0,1.0
145,1450.03,2,0.05,455.14,455.19,455.2,1.0,0.0,1.0
146,1460.03,2,0.05,458.47,458.52,458.5,1.0,0.0,1.0
147,1470.03,2,0.05,461.81,461.86,461.8,1.0,0.0,1.0
148,1480.03,2,0.05,465.14,465.19,465.2,1.0,0.0,1.0
149,1490.03,2,0.05,468.47,468.52,468.5,1.0,0.0,1.0
150,1500.03,2,0.05,471.81,471.86,471.8,1.0,0.0,1.0
151,1510.03,2,0.05,475.14,475.19,475.2,1.0,0.0,1.0
152,1520.03,2,0.05,478.47,478.52,478.5,1.0,0.0,1.0
153,1530.03,2,0.05,481.81,481.86,481.8,1.0,0.0,1.0
154,1540.03,2,0.05,485.14,485.19,485.2,1.0,0.0,1.0
155,1550.03,2,0.05,488.47,488.52,488.5,1.0,0.0,1.0
156,1560.03,2,0.05,491.81,491.86,491.8,1.0,0.0,1.0
157,1570.03,2,0.05,495.14,495.19,495.2,1.0,0.0,1.0
158,1580.03,2,0.05,498.47,498.52,498.5,1.0,0.0,1.0
159,1590.03,2,0.05,501.81,501.86,501.8,1.0,0.0,1.0
160,1600.04,2,0.05,505.14,505.19,505.2,1.0,0.0,1.0
161,1610.03,2,0.05,508.47,508.52,508.5,1.0,0.0,1.0
162,1620.03,2,0.05,511.81,511.86,511.8,1.0,0.0,1.0
163,1630.03,2,0.05,515.14,515.19,515.0,1.0,0.0,1.0
164,1640.03,2,0.05,518.47,518.52,518.5,1.0,0.0,1.0
165,1650.03,2,0.05,521.81,521.86,522.0,1.0,0.0,1.0
166,1660.03,2,0.05,525.14,525.19,525.0,1.0,0.0,1.0
167,1670.03,2,0.05,528.47,528.52,528.5,1.0,0.0,1.0
168,1680.03,2,0.05,531.81,531.86,532.0,1.0,0.0,1.0
169,1690.03,2,0.05,535.14,535.19,535.0,1.0,0.0,1.0
170,1700.03,2,0.05,538.47,538.52,538.5,1.0,0.0,1.0
171,1710.03,2,0.05,541.81,541.86,542.0,1.0,0.0,1.0
172,1720.03,2,0.05,545.14,545.19,545.0,1.0,0.0,1.0
173,1730.03,2,0.05,548.47,548.52,548.5,1.0,0.0,1.0
174,1740.03,2,0.05,551.81,551.86,552.0,1.0,0.0,1.0
175,1750.03,2,0.05,555.14,555.19,555.0,1.0,0.0,1.0
176,1760.03,2,0.05,558.47,558.52,558.5,1.0,0.0,1.0
177,1770.03,2,0.05,561.81,561.86,562.0,1.0,0.0,1.0
178,1780.04,2,0.05,565.14,565.19,565.0,1.0,0.0,1.0
179,1790.03,2,0.05,568.47,568.52,568.5,1.0,0.0,1.0
180,1800.03,2,0.05,571.81,571.86,572.0,1.0,0.0,1.0
181,1810.03,2,0.05,575.14,575.19,575.0,1.0,0.0,1.0
182,1820.03,2,0.05,578.47,578.52,578.5,1.0,0.0,1.0
183,1830.03,2,0.05,581.81,581.86,582.0,1.0,0.0,1.0
184,1840.03,2,0.05,585.14,585.19,585.0,1.0,0.0,1.0
185,1850.03,2,0.05,588.47,588.52,588.5,1.0,0.0,1.0
186,1860.03,2,0.05,591.81,591.86,592.0,1.0,0.0,1.0
187,1870.03,2,0.05,595.14,595.19,595.0,1.0,0.0,1.0
188,1880.03,2,0.05,598.47,598.52,598.5,1.0,0.0,1.0
189,1890.03,2,0.05,601.81,601.86,602.0,1.0,0.0,1.0
190,1900.03,2,0.05,605.14,605.19,605.0,1.0,0.0,1.0
191,1910.03,2,0.05,608.47,608.52,608.5,1.0,0.0,1.0
192,1920.03,2,0.05,611.81,611.86,612.0,1.0,0.0,1.0
193,1930.03,2,0.05,615.14,615.19,615.0,1.0,0.0,1.0
194,1940.03,2,0.05,618.47,618.52,618.5,1.0,0.0,1.0
195,1950.03,2,0.05,621.81,621.86,622.0,1.0,0.0,1.0
196,1960.03,2,0.05,625.14,625.19,625.0,1.0,0.0,1.0
197,1970.03,2,0.05,628.47,628.52,628.5,1.0,0.0,1.0
198,1980.03,2,0.05,631.81,631.86,632.0,1.0,0.0,1.0
199,1990.03,2,0.05,635.14,635.19,635.0,1.0,0.0,1.0
200,2000.03,2,0.05,638.47,638.52,638.5,1.0,0.0,1.0
201,2010.03,2,0.05,641.81,641.86,642.0,1.0,0.0,1.0
202,2020.03,2,0.05,645.14,645.19,645.0,1.0,0.0,1.0
203,2030.03,2,0.05,648.47,648.52,648.5,1.0,0.0,1.0
204,2040.03,2,0.05,651.81,651.86,652.0,1.0,0.0,1.0
205,2050.04,2,0.05,655.14,655.19,655.0,1.0,0.0,1.0
206,2060.03,2,0.05,658.47,658.52,658.5,1.0,0.0,1.0
207,2070.03,2,0.05,661.81,661.86,662.0,1.0,0.0,1.0
208,2080.03,2,0.05,665.14,665.19,665.0,1.0,0.0,1.0
209,2090.03,2,0.05,668.47,668.52,668.5,1.0,0.0,1.0
210,2100.03,2,0.05,671.81,671.86,672.0,1.0,0.0,1.0
211,2110.03,2,0.05,675.14,675.19,675.0,1.0,0.0,1.0
212,2120.03,2,0.05,678.47,678.52,678.5,1.0,0.0,1.0
213,2130.03,2,0.05,681.81,681.86,682.0,1.0,0.0,1.0
214,2140.03,2,0.05,685.14,685.19,685.0,1.0,0.0,1.0
215,2150.03,2,0.05,688.47,688.52,688.5,1.0,0.0,1.0
216,2160.03,2,0.05,691.81,691.86,692.0,1.0,0.0,1.0
217,2170.03,2,0.05,695.14,695.19,695.0,1.0,0.0,1.0
218,2180.03,2,0.05,698.47,698.52,698.5,1.0,0.0,1.0
219,2190.03,2,0.05,701.81,701.86,702.0,1.0,0.0,1.0
220,2200.03,2,0.05,705.14,705.19,705.0,1.0,0.0,1.0
221,2210.03,2,0.05,708.47,708.52,708.5,1.0,0.0,1.0
222,2220.03,2,0.05,711.81,711.86,712.0,1.0,0.0,1.0
223,2230.03,2,0.05,715.14,715.19,715.0,1.0,0.0,1.0
224,2240.03,2,0.05,718.47,718.52,718.5,1.0,0.0,1.0
225,2250.03,2,0.05,721.81,721.86,722.0,1.0,0.0,1.0
226,2260.03,2,0.05,725.14,725.19,725.0,1.0,0.0,1.0
227,2270.03,2,0.05,728.47,728.52,728.5,1.0,0.0,1.0
228,2280.03,2,0.05,731.81,731.86,732.0,1.0,0.0,1.0
229,2290.03,2,0.05,735.14,735.19,735.0,1.0,0.0,1.0
230,2300.03,2,0.05,738.47,738.52,738.5,1.0,0.0,1.0
231,2310.04,2,0.05,741.81,741.86,742.0,1.0,0.0,1.0
232,2320.03,2,0.05,745.14,745.19,745.0,1.0,0.0,1.0
233,2330.03,2,0.05,748.47,748.52,748.5,1.0,0.0,1.0
234,2340.03,2,0.05,751.81,751.86,752.0,1.0,0.0,1.0
235,2350.03,2,0.05,755.14,755.19,755.0,1.0,0.0,1.0
236,2360.03,2,0.05,758.47,758.52,758.5,1.0,0.0,1.0
237,2370.03,2,0.05,761.81,761.86,762.0,1.0,0.0,1.0
238,2380.03,2,0.05,765.14,765.19,765.0,1.0,0.0,1.0
239,2390.03,2,0.05,768.47,768.52,768.5,1.0,0.0,1.0
240,2400.03,2,0.05,771.81,771.86,772.0,1.0,0.0,1.0
241,2410.04,2,0.05,775.14,775.19,775.0,1.0,0.0,1.0
242,2420.03,2,0.05,778.47,778.52,778.5,1.0,0.0,1.0
243,2430.03,2,0.05,781.81,781.86,782.0,1.0,0.0,1.0
244,2440.04,2,0.05,785.14,785.19,785.0,1.0,0.0,1.0
245,2450.03,2,0.05,788.47,788.52,788.5,1.0,0.0,1.0
246,2460.03,2,0.05,791.81,791.86,792.0,1.0,0.0,1.0
247,2470.03,2,0.05,795.14,795.19,795.0,1.0,0.0,1.0
248,2480.03,2,0.05,798.47,798.52,798.5,1.0,0.0,1.0
249,2490.03,2,0.05,801.81,801.86,802.0,1.0,0.0,1.0
250,2500.03,2,0.05,805.14,805.19,805.0,1.0,0.0,1.0
251,2510.03,2,0.05,808.47,808.52,808.5,1.0,0.0,1.0
252,2520.03,2,0.05,811.81,811.86,812.0,1.0,0.0,1.0
253,2530.03,2,0.05,815.14,815.19,815.0,1.0,0.0,1.0
254,2540.04,2,0.05,818.48,818.52,818.5,1.0,0.0,1.0
255,2550.03,2,0.05,821.81,821.86,822.0,1.0,0.0,1.0
256,2560.03,2,0.05,825.14,825.19,825.0,1.0,0.0,1.0
257,2570.03,2,0.05,828.47,828.52,828.5,1.0,0.0,1.0
258,2580.03,2,0.05,831.81,831.86,832.0,1.0,0.0,1.0
259,2590.03,2,0.05,835.14,835.19,835.0,1.0,0.0,1.0
260,2600.03,2,0.05,838.47,838.52,838.5,1.0,0.0,1.0
261,2610.03,2,0.05,841.81,841.86,842.0,1.0,0.0,1.0
262,2620.03,2,0.05,845.14,845.19,845.0,1.0,0.0,1.0
263,2630.03,2,0.05,848.47,848.52,848.5,1.0,0.0,1.0
264,2640.03,2,0.05,851.81,851.86,852.0,1.0,0.0,1.0
265,2650.04,2,0.05,855.14,855.19,855.0,1.0,0.0,1.0
266,2660.03,2,0.05,858.47,858.52,858.5,1.0,0.0,1.0
267,2670.03,2,0.05,861.81,861.86,862.0,1.0,0.0,1.0
268,2680.03,2,0.05,865.14,865.19,865.0,1.0,0.0,1.0
269,2690.03,2,0.05,868.47,868.52,868.5,1.0,0.0,1.0
270,2700.03,2,0.05,871.81,871.86,872.0,1.0,0.0,1.0
271,2710.04,2,0.05,875.14,875.19,875.0,1.0,0.0,1.0
272,2720.04,2,0.05,878.48,878.52,878.5,1.0,0.0,1.0
273,2730.03,2,0.05,881.81,881.86,882.0,1.0,0.0,1.0
274,2740.03,2,0.05,885.14,885.19,885.0,1.0,0.0,1.0
275,2750.03,2,0.05,888.47,888.52,888.5,1.0,0.0,1.0
276,2760.04,2,0.05,891.81,891.86,892.0,1.0,0.0,1.0
277,2770.03,2,0.05,895.14,895.19,895.0,1.0,0.0,1.0
278,2780.04,2,0.05,898.48,898.52,898.5,1.0,0.0,1.0
279,2790.03,2,0.05,901.81,901.86,902.0,1.0,0.0,1.0
280,2800.03,2,0.05,905.14,905.19,905.0,1.0,0.0,1.0
281,2810.04,2,0.05,908.48,908.52,908.5,1.0,0.0,1.0
282,2820.03,2,0.05,911.81,911.86,912.0,1.0,0.0,1.0
283,2830.03,2,0.05,915.14,915.19,915.0,1.0,0.0,1.0
284,2840.03,2,0.05,918.47,918.52,918.5,1.0,0.0,1.0
285,2850.04,2,0.05,921.81,921.86,922.0,1.0,0.0,1.0
286,2860.03,2,0.05,925.14,925.19,925.0,1.0,0.0,1.0
287,2870.04,2,0.05,928.48,928.52,928.5,1.0,0.0,1.0
288,2880.03,2,0.05,931.81,931.86,932.0,1.0,0.0,1.0
289,2890.03,2,0.05,935.14,935.19,935.0,1.0,0.0,1.0
290,2900.03,2,0.05,938.47,938.52,938.5,1.0,0.0,1.0
291,2910.03,2,0.05,941.81,941.86,942.0,1.0,0.0,1.0
292,2920.03,2,0.05,945.14,945.19,945.0,1.0,0.0,1.0
293,2930.03,2,0.05,948.47,948.52,948.5,1.0,0.0,1.0
294,2940.03,2,0.05,951.81,951.86,952.0,1.0,0.0,1.0
295,2950.04,2,0.05,955.14,955.19,955.0,1.0,0.0,1.0
296,2960.03,2,0.05,958.47,958.52,958.5,1.0,0.0,1.0
297,2970.03,2,0.05,961.81,961.86,962.0,1.0,0.0,1.0
298,2980.04,2,0.05,965.14,965.19,965.0,1.0,0.0,1.0
299,2990.03,2,0.05,968.47,968.52,968.5,1.0,0.0,1.0
300,3000.03,2,0.05,971.81,971.86,972.0,1.0,0.0,1.0
301,3010.03,2,0.05,975.14,975.19,975.0,1.0,0.0,1.0
302,3020.03,2,0.05,978.47,978.52,978.5,1.0,0.0,1.0
303,3030.04,2,0.05,981.81,981.86,982.0,1.0,0.0,1.0
304,3040.04,2,0.05,985.14,985.19,985.0,1.0,0.0,1.0
305,3050.04,2,0.05,988.48,988.52,988.5,1.0,0.0,1.0
306,3060.03,2,0.05,991.81,991.86,992.0,1.0,0.0,1.0
307,3070.03,2,0.05,994.72,994.77,995.0,1.0,0.0,1.0
308,3080.04,2,0.05,996.38,996.43,996.5,1.0,0.0,1.0
309,3090.04,2,0.05,996.27,996.32,996.5,1.0,0.0,1.0
310,3100.04,2,0.05,994.45,994.50,994.5,1.0,0.0,1.0
311,3110.03,2,0.05,991.53,991.57,991.5,1.0,0.0,1.0
312,3120.03,2,0.05,988.19,988.24,988.0,1.0,0.0,1.0
313,3130.04,2,0.05,984.86,984.91,985.0,1.0,0.0,1.0
314,3140.03,2,0.05,981.53,981.57,981.5,1.0,0.0,1.0
315,3150.03,2,0.05,978.19,978.24,978.0,1.0,0.0,1.0
316,3160.03,2,0.05,974.86,974.91,975.0,1.0,0.0,1.0
317,3170.03,2,0.05,971.53,971.57,971.5,1.0,0.0,1.0
318,3180.03,2,0.05,968.19,968.24,968.0,1.0,0.0,1.0
319,3190.03,2,0.05,964.86,964.91,965.0,1.0,0.0,1.0
320,3200.04,2,0.05,961.52,961.57,961.5,1.0,0.0,1.0
321,3210.03,2,0.05,958.19,958.24,958.0,1.0,0.0,1.0
322,3220.03,2,0.05,954.86,954.91,955.0,1.0,0.0,1.0
323,3230.03,2,0.05,951.53,951.58,951.5,1.0,0.0,1.0
324,3240.03,2,0.05,948.19,948.24,948.0,1.0,0.0,1.0
325,3250.03,2,0.05,944.86,944.91,945.0,1.0,0.0,1.0
326,3260.03,2,0.05,941.53,941.58,941.5,1.0,0.0,1.0
327,3270.03,2,0.05,938.19,938.24,938.0,1.0,0.0,1.0
328,3280.03,2,0.05,934.86,934.91,935.0,1.0,0.0,1.0
329,3290.03,2,0.05,931.53,931.57,931.5,1.0,0.0,1.0
330,3300.03,2,0.05,928.19,928.24,928.0,1.0,0.0,1.0
331,3310.03,2,0.05,924.86,924.91,925.0,1.0,0.0,1.0
332,3320.03,2,0.05,921.53,921.58,921.5,1.0,0.0,1.0
333,3330.03,2,0.05,918.19,918.24,918.0,1.0,0.0,1.0
334,3340.03,2,0.05,914.86,914.91,915.0,1.0,0.0,1.0
335,3350.03,2,0.05,911.53,911.57,911.5,1.0,0.0,1.0
336,3360.03,2,0.05,908.19,908.24,908.0,1.0,0.0,1.0
337,3370.03,2,0.05,904.86,904.91,905.0,1.0,0.0,1.0
338,3380.03,2,0.05,901.53,901.58,901.5,1.0,0.0,1.0
339,3390.03,2,0.05,898.19,898.24,898.0,1.0,0.0,1.0
340,3400.03,2,0.05,894.86,894.91,895.0,1.0,0.0,1.0
341,3410.03,2,0.05,891.53,891.58,891.5,1.0,0.0,1.0
342,3420.03,2,0.05,888.19,888.24,888.0,1.0,0.0,1.0
343,3430.03,2,0.05,884.86,884.91,885.0,1.0,0.0,1.0
344,3440.03,2,0.05,881.53,881.58,881.5,1.0,0.0,1.0
345,3450.03,2,0.05,878.19,878.24,878.0,1.0,0.0,1.0
346,3460.03,2,0.05,874.86,874.91,875.0,1.0,0.0,1.0
347,3470.03,2,0.05,871.53,871.58,871.5,1.0,0.0,1.0
348,3480.03,2,0.05,868.19,868.24,868.0,1.0,0.0,1.0
349,3490.03,2,0.05,864.86,864.91,865.0,1.0,0.0,1.0
350,3500.03,2,0.05,861.53,861.58,861.5,1.0,0.0,1.0
351,3510.03,2,0.05,858.19,858.24,858.0,1.0,0.0,1.0
352,3520.03,2,0.05,854.86,854.91,855.0,1.0,0.0,1.0
353,3530.03,2,0.05,851.53,851.58,851.5,1.0,0.0,1.0
354,3540.03,2,0.05,848.19,848.24,848.0,1.0,0.0,1.0
355,3550.03,2,0.05,844.86,844.91,845.0,1.0,0.0,1.0
356,3560.03,2,0.05,841.53,841.58,841.5,1.0,0.0,1.0
357,3570.03,2,0.05,838.19,838.24,838.0,1.0,0.0,1.0
358,3580.03,2,0.05,834.86,834.91,835.0,1.0,0.0,1.0
359,3590.03,2,0.05,831.53,831.58,831.5,1.0,0.0,1.0
360,3600.03,2,0.05,828.19,828.24,828.0,1.0,0.0,1.0
361,3610.03,2,0.05,824.86,824.91,825.0,1.0,0.0,1.0
362,3620.03,2,0.05,821.53,821.58,821.5,1.0,0.0,1.0
363,3630.03,2,0.05,818.19,818.24,818.0,1.0,0.0,1.0
364,3640.03,2,0.05,814.86,814.91,815.0,1.0,0.0,1.0
365,3650.03,2,0.05,811.53,811.58,811.5,1.0,0.0,1.0
366,3660.03,2,0.05,808.19,808.24,808.0,1.0,0.0,1.0
367,3670.03,2,0.05,804.86,804.91,805.0,1.0,0.0,1.0
368,3680.03,2,0.05,801.53,801.58,801.5,1.0,0.0,1.0
369,3690.03,2,0.05,798.19,798.24,798.0,1.0,0.0,1.0
370,3700.03,2,0.05,794.86,794.91,795.0,1.0,0.0,1.0
371,3710.03,2,0.05,791.53,791.58,791.5,1.0,0.0,1.0
372,3720.03,2,0.05,788.19,788.24,788.0,1.0,0.0,1.0
373,3730.03,2,0.05,784.86,784.91,785.0,1.0,0.0,1.0
374,3740.03,2,0.05,781.53,781.58,781.5,1.0,0.0,1.0
375,3750.03,2,0.05,778.19,778.24,778.0,1.0,0.0,1.0
376,3760.03,2,0.05,774.86,774.91,775.0,1.0,0.0,1.0
